source_gt,program,code,name_th,name_en,year,semester,pages
หมวดศึกษาทั่วไป (general_education),dsba,90641001,โรงเรียนสร้างเสน่ห์,CHARM SCHOOL,,,14;121;123;149;232;260;350
หมวดศึกษาทั่วไป (general_education),dsba,90641002,ความฉลาดทางดิจิทัล,DIGITAL INTELLIGENCE QUOTIENT,,,14;121;123;149;232;260;350
หมวดศึกษาทั่วไป (general_education),dsba,90641003,กีฬาและนันทนาการ,SPORTS AND RECREATIONAL ACTIVITIES,,,14;121;123;149;232;260;350
หมวดศึกษาทั่วไป (general_education),dsba,90642001,ปฏิบัติงานตามทักษะด้านบุคคลและสนับสนุนวิชาชีพ 1,PRACTICE UNDER PERSONAL AND PROFESSIONAL SKILLS 1,,,123;150;260
หมวดศึกษาทั่วไป (general_education),dsba,90642002,ปฏิบัติงานตามทักษะด้านบุคคลและสนับสนุนวิชาชีพ 2,PRACTICE UNDER PERSONAL AND PROFESSIONAL SKILLS 2,,,123;150;260
หมวดศึกษาทั่วไป (general_education),dsba,90642003,ปฏิบัติงานตามทักษะด้านบุคคลและสนับสนุนวิชาชีพ 3,PRACTICE UNDER PERSONAL AND PROFESSIONAL SKILLS 3,,,123;150;260
หมวดศึกษาทั่วไป (general_education),dsba,90642004,การคิดวิเคราะห์,ANALYTICAL THINKING,,,123;150;260
หมวดศึกษาทั่วไป (general_education),dsba,90642005,การคิดเชิงสร้างสรรค์,CREATIVE THINKING,,,123;151;260
หมวดศึกษาทั่วไป (general_education),dsba,90642006,การคิดเชิงนวัตกรรม,INNOVATIVE THINKING,,,123;151;260
หมวดศึกษาทั่วไป (general_education),dsba,90642007,การคิดเชิงบวก,POSITIVE THINKING,,,123;151;260
หมวดศึกษาทั่วไป (general_education),dsba,90642008,การแก้ปัญหา,PROBLEM SOLVING,,,123;151
หมวดศึกษาทั่วไป (general_education),dsba,90642009,การคิดเชิงกลยุทธ์,STRATEGIC THINKING,,,123;152
หมวดศึกษาทั่วไป (general_education),dsba,90642010,การคิดเชิงระบบ,SYSTEM THINKING,,,123;152;260
หมวดศึกษาทั่วไป (general_education),dsba,90642011,การคิดอย่างมีวิจารณญาณ,CRITICAL THINKING,,,123;152
หมวดศึกษาทั่วไป (general_education),dsba,90642012,กระบวนการคิดเชิงออกแบบ,DESIGN THINKING,,,123;152;256;257;261
หมวดศึกษาทั่วไป (general_education),dsba,90642013,บูรณาการแห่งการคิด,INTEGRATED THINKING,,,123;153;254;258;261
หมวดศึกษาทั่วไป (general_education),dsba,90642014,การคิดเชิงระบบและเชิงนวัตกรรม,INNOVATIVE AND SYSTEM THINKING,,,123;153;261
หมวดศึกษาทั่วไป (general_education),dsba,90642015,การคิดสร้างสรรค์และนวัตกรรม,CREATIVE THINKING AND INNOVATION,,,124;153;255;261
หมวดศึกษาทั่วไป (general_education),dsba,90642016,วิธีการออกแบบเพื่อสร้างนวัตกรรม,DESIGN METHODS FOR INNOVATION,,,124;154;261
หมวดศึกษาทั่วไป (general_education),dsba,90642017,แกะกล่องนวัตกรรม,INNOVATION UNBOXED,,,124;154;253;261
หมวดศึกษาทั่วไป (general_education),dsba,90642018,เทคโนโลยีการผลิตงานสร้างสรรค์,CREATIVE PRODUCTION TECHNOLOGY,,,124;154;254;261
หมวดศึกษาทั่วไป (general_education),dsba,90642019,การออกแบบสะเต็มอย่างสร้างสรรค์ขั้นพื้นฐาน,BASIC CREATIVE STEM DESIGN,,,124;155;261
หมวดศึกษาทั่วไป (general_education),dsba,90642020,การออกแบบสะเต็มอย่างสร้างสรรค์ขั้นสูง,ADVANCE CREATIVE STEM DESIGN,,,124;155;261
หมวดศึกษาทั่วไป (general_education),dsba,90642021,ไอเดียขยะ,JUNK DESIGN,,,124;155;261
หมวดศึกษาทั่วไป (general_education),dsba,90642022,ปรัชญาวิทยาศาสตร์,PHILOSOPHY OF SCIENCE,,,124;156
หมวดศึกษาทั่วไป (general_education),dsba,90642023,แนวโน้มการศึกษาด้านวิศวกรรม,EMERGING TRENDS IN ENGINEERING,,,124;156;234;261
หมวดศึกษาทั่วไป (general_education),dsba,90642024,การวิเคราะห์ข้อมูลทางวิชาชีพและการนำเสนอทางวิชาการ,PROFESSIONAL INFORMATION ANALYSIS AND ACADEMIC PRESENTATION,,,124;156;234;255;261
หมวดศึกษาทั่วไป (general_education),dsba,90642025,วิเคราะห์ความจริงจากตัวเลข,FATCS BEHIND NUMBERS,,,124;157;261
หมวดศึกษาทั่วไป (general_education),dsba,90642026,การพัฒนาทักษะเชิงวิจัย,RESEARCH SKILL DEVELOPMENT,,,124;157;255;261
หมวดศึกษาทั่วไป (general_education),dsba,90642027,การตีความและการใช้เหตุผล,INTERPRETATION AND ARGUMENT,,,124;157;261
หมวดศึกษาทั่วไป (general_education),dsba,90642028,รู้เท่าทันการพนัน,GAMBLING LITERACY,,,124;158;261
หมวดศึกษาทั่วไป (general_education),dsba,90642029,จริยธรรมและกฎหมายว่าด้วยความเป็นมืออาชีพทางการแพทย์,"MEDICAL ETHICS, LAWS AND PROFESSIONALOSM",,,124;158;261
หมวดศึกษาทั่วไป (general_education),dsba,90642030,จรรยาบรรณและกฎหมายวิศวกรรม,ENGINEERING ETHICS AND LAWS,,,124;158;253;262
หมวดศึกษาทั่วไป (general_education),dsba,90642031,จริยธรรมและกฎหมายแห่งวิชาชีพ,PROFESSIONAL ETHICS AND LAWS,,,124;158;262
หมวดศึกษาทั่วไป (general_education),dsba,90642032,กฎหมายสำหรับผู้ประกอบการ,LAW FOR ENTREPRENEURS,,,124;159
หมวดศึกษาทั่วไป (general_education),dsba,90642033,กฎหมายสำหรับคนรุ่นใหม่,LAW FOR NEW GENERATION,,,14;22;29;124;159;256;262;351
หมวดศึกษาทั่วไป (general_education),dsba,90642034,กฎหมายและระเบียบในอุตสาหกรรมการบิน,LAW AND REGULATION IN AVIATION INDUSTRY,,,125;159;262
หมวดศึกษาทั่วไป (general_education),dsba,90642035,ประสบการณ์ในอุตสาหกรรมสำหรับวิศวกร,INDUSTRIAL EXPERIENCE FOR ENGINEERS,,,125;160;211;253;262
หมวดศึกษาทั่วไป (general_education),dsba,90642036,เตรียมความพร้อมสำหรับวิศวกร,PRE-ACTIVITIES FOR ENGINEERS,,,125;160;253;262
หมวดศึกษาทั่วไป (general_education),dsba,90642037,ประเด็นและทักษะวิชาชีพ,PROFESSIONAL SKILLS AND ISSUES,,,125;160;262
หมวดศึกษาทั่วไป (general_education),dsba,90642038,ความปลอดภัยในที่ทำงาน,OCCUPATIONAL SAFETY AND HEALTH,,,125;161;253;262
หมวดศึกษาทั่วไป (general_education),dsba,90642039,ซ่อมได้ภายในบ้าน,QUICK-FIX @ HOME,,,125;161;262
หมวดศึกษาทั่วไป (general_education),dsba,90642040,คอกาแฟ,COFFEE MANIA,,,125;161
หมวดศึกษาทั่วไป (general_education),dsba,90642041,ครัวเด็กหอ,DORM CHEF,,,125;161;262
หมวดศึกษาทั่วไป (general_education),dsba,90642042,ศาสตร์และศิลป์ของเนื้อสัตว์,SCIENCE AND ART OF MEATS,,,125;162;262
หมวดศึกษาทั่วไป (general_education),dsba,90642043,ศาสตร์ของเบอร์เกอร์,SCIENCE OF BURGER,,,125;162;262
หมวดศึกษาทั่วไป (general_education),dsba,90642044,โลกของไส้กรอก,WORLD OF SAUSAGES,,,125;162;262
หมวดศึกษาทั่วไป (general_education),dsba,90642045,เรื่องเหล้า,BE MY BEV.,,,125;162;262
หมวดศึกษาทั่วไป (general_education),dsba,90642046,ไร้ซ์-สาระ,RICE-SARA,,,125;163
หมวดศึกษาทั่วไป (general_education),dsba,90642047,หมอต้นไม้,TREE DOCTOR,,,125;163;262
หมวดศึกษาทั่วไป (general_education),dsba,90642048,ยาและสมุนไพรพาเพลิน,FUN WITH DRUGS AND HERBS,,,125;163;262
หมวดศึกษาทั่วไป (general_education),dsba,90642049,การใช้ประโยชน์จากจุลินทรีย์ในชีวิตประจำวัน,MICROBIAL UTILIZATION FOR DAILY LIFE,,,125;164;256
หมวดศึกษาทั่วไป (general_education),dsba,90642050,พืชพรรณที่เป็นยา,MEDICINAL PLANTS,,,125;164;263
หมวดศึกษาทั่วไป (general_education),dsba,90642051,เทคโนโลยีชีวภาพเพื่อความเป็นอยู่ที่ดีขึ้น,BIOTECHNOLOGY FOR BETTER LIVING,,,125;164;263
หมวดศึกษาทั่วไป (general_education),dsba,90642052,จากเส้นสาย DNA สู่พันธุกรรม,GENES & GENETICS : FROM HELIX TO HEREDITARY,,,125;165;263
หมวดศึกษาทั่วไป (general_education),dsba,90642053,สาระน่ารู้อณูพันธุศาสตร์,INTERESTING MOLECULAR GENETICS,,,126;165
หมวดศึกษาทั่วไป (general_education),dsba,90642054,สิ่งพิทักษ์ร่างกาย,GUARDIANS OF OUR BODIES,,,126;165;263
หมวดศึกษาทั่วไป (general_education),dsba,90642055,จุลินทรีย์ร่วมชีพ,LIVING WITH MICROBES,,,126;166;263
หมวดศึกษาทั่วไป (general_education),dsba,90642056,โรคระบาดในศตวรรษที่ 21,EPIDEMICS IN THE 21st CENTURY,,,126;166
หมวดศึกษาทั่วไป (general_education),dsba,90642057,ภูมิคุ้มกาย,IMMUNITY THROUGH MEDIA,,,126;166
หมวดศึกษาทั่วไป (general_education),dsba,90642058,ความเข้าใจในนโยบายสุขภาพและสวัสดิภาพของประชาชน,UNDERSTANDING HEALTH POLICY AND PUBLIC WELFARE,,,126;166;236;263
หมวดศึกษาทั่วไป (general_education),dsba,90642059,การแพทย์และวรรณกรรม,MEDICINE AND LITERATURE,,,126;167;263
หมวดศึกษาทั่วไป (general_education),dsba,90642060,ค้นหาตัวตน,SELF-DISCOVERY,,,126;167
หมวดศึกษาทั่วไป (general_education),dsba,90642061,โลกของแมลง,WORLD OF INSECTS,,,126;167;263
หมวดศึกษาทั่วไป (general_education),dsba,90642062,เรื่ื่องกินเรื่องใหญ่,ALL ABOUT FOOD,,,126;168;263
หมวดศึกษาทั่วไป (general_education),dsba,90642063,การพัฒนาสุขภาพแบบองค์รวม,HOLISTIC HEALTH DEVELOPMENT,,,126;168;263
หมวดศึกษาทั่วไป (general_education),dsba,90642064,เปตอง,PETANQUE,,,126;168;263
หมวดศึกษาทั่วไป (general_education),dsba,90642065,รักบี้ฟุตบอล,RUGBY FOOTBALL,,,126;168;263
หมวดศึกษาทั่วไป (general_education),dsba,90642066,ฟุตบอล,SOCCER,,,126;169;263
หมวดศึกษาทั่วไป (general_education),dsba,90642067,ซอฟบอลและเบสบอล,SOFTBALL & BASEBALL,,,126;169;264
หมวดศึกษาทั่วไป (general_education),dsba,90642068,เทนนิส,TENNIS,,,126;169;264
หมวดศึกษาทั่วไป (general_education),dsba,90642069,วอลเลย์บอล,VOLLEYBALL,,,126;169;263
หมวดศึกษาทั่วไป (general_education),dsba,90642070,กอล์ฟ,GOLF,,,126;169;264
หมวดศึกษาทั่วไป (general_education),dsba,90642071,แบดมินตัน,BADMINTON,,,126;170;264
หมวดศึกษาทั่วไป (general_education),dsba,90642072,บาสเกตบอล,BASKETBALL,,,127;170;264
หมวดศึกษาทั่วไป (general_education),dsba,90642073,หมากกระดาน,CHESS,,,127;170;264
หมวดศึกษาทั่วไป (general_education),dsba,90642074,อีสปอร์ต,E-SPORTS,,,127;170;264
หมวดศึกษาทั่วไป (general_education),dsba,90642075,คาราเต้,KARATE,,,127;171;264
หมวดศึกษาทั่วไป (general_education),dsba,90642076,ยิงปืน,SHOOTING,,,127;171
หมวดศึกษาทั่วไป (general_education),dsba,90642077,เทเบิลเทนนิส,TABLE TENNIS,,,127;171;264
หมวดศึกษาทั่วไป (general_education),dsba,90642078,เทควันโด,TAEKWONDO,,,127;171;264
หมวดศึกษาทั่วไป (general_education),dsba,90642079,ยูโด,JUDO,,,127;171;264
หมวดศึกษาทั่วไป (general_education),dsba,90642080,การประพันธ์เพลงเบื้องต้น,INTRODUCTION TO MUSIC COMPOSITION,,,127;172;258;264
หมวดศึกษาทั่วไป (general_education),dsba,90642081,สุนทรียะเพลงแรป,RAP APPRECIATION,,,127;172
หมวดศึกษาทั่วไป (general_education),dsba,90642082,สุนทรียะดนตรี,MUSIC APPRECIATION,,,127;172;264
หมวดศึกษาทั่วไป (general_education),dsba,90642083,ศิลปะแห่งภาพยนต์,FILM APPRECIATION,,,127;172
หมวดศึกษาทั่วไป (general_education),dsba,90642084,สุนทรียะภาพถ่าย,PHOTOGRAPHY APPRECIATION,,,127
หมวดศึกษาทั่วไป (general_education),dsba,90642085,วัฒนธรรมร่วมสมัย,CONTEMPORARY CULTURE,,,127;173;264
หมวดศึกษาทั่วไป (general_education),dsba,90642086,วัฒนธรรมการออกแบบเบื้องต้น,INTRODUCTION TO DESIGN CULTURE,,,127;173
หมวดศึกษาทั่วไป (general_education),dsba,90642087,วัฒนธรรมรอบโลก,WORLD CULTURE,,,127;173;265
หมวดศึกษาทั่วไป (general_education),dsba,90642088,วัฒนธรรมจีนดั้งเดิม,TRADITIONAL CHINESE CULTURE,,,127;174
หมวดศึกษาทั่วไป (general_education),dsba,90642089,สังคม เศรษฐกิจ และการเมืองจีน,"CHINESE SOCIETY, ECONOMY AND POLITICS",,,127;174;263;265
หมวดศึกษาทั่วไป (general_education),dsba,90642090,เจาะลึกประเด็นโลก,GLOBAL INSIDE,,,127;174;265
หมวดศึกษาทั่วไป (general_education),dsba,90642091,เอเชียนศึกษา,ASIAN STUDY,,,128;174;265
หมวดศึกษาทั่วไป (general_education),dsba,90642092,การศึกษาเพื่อสร้างพลเมือง,CIVIC EDUCATION,,,128;175;265
หมวดศึกษาทั่วไป (general_education),dsba,90642093,สานสัมพันธ์กับชุมชน,COMMUNITY ENGAGEMENT,,,128;175;265
หมวดศึกษาทั่วไป (general_education),dsba,90642094,หลักการพัฒนาชุมชน,PRINCIPLES OF COMMUNITY DEVELOPMENT,,,128;175
หมวดศึกษาทั่วไป (general_education),dsba,90642095,การพัฒนาตวามมั่นคงแห่งชาติ,NATIONAL SECURITY DEVELOPMENT,,,128;175;265
หมวดศึกษาทั่วไป (general_education),dsba,90642096,วิทยาการทางทหาร,MILITARY SCIENCE,,,128;176
หมวดศึกษาทั่วไป (general_education),dsba,90642097,ภูมิปัญญาไทยประยุกต์,APPLIED THAI WISDOMS,,,128;176
หมวดศึกษาทั่วไป (general_education),dsba,90642098,พลวัตสังคมไทย,DYNAMICS OF THAI SOCIETY,,,128;176;265
หมวดศึกษาทั่วไป (general_education),dsba,90642099,สังคมสูงวัยเชิงรุก,ACTIVE AGING SOCIETY,,,128;177
หมวดศึกษาทั่วไป (general_education),dsba,90642100,สู้กับข่าวปลอม,FIGHTING FAKE NEWS,,,128;177
หมวดศึกษาทั่วไป (general_education),dsba,90642101,นักรีวิว,REVIEWER,,,128;177;265
หมวดศึกษาทั่วไป (general_education),dsba,90642102,นักสื่อสารผ่านยูทูบ,YOUTUBER,,,128;177;265
หมวดศึกษาทั่วไป (general_education),dsba,90642103,การดำรงชีพในสังคมดิจิทัล,LIVING IN DIGITAL SOCIETY,,,128;178;265
หมวดศึกษาทั่วไป (general_education),dsba,90642104,รู้ทันดิจิทัล,DIGITAL LITERACY,,,128;178
หมวดศึกษาทั่วไป (general_education),dsba,90642105,อินเทอร์เน็ตพื้นฐานของสรรพสิ่ง,BASIC INTERNET OF THINGS (IOT),,,128;178;255;266
หมวดศึกษาทั่วไป (general_education),dsba,90642106,เล่าเรื่องการเดินทางแบบดิจิทัล,DIGITAL STORYTELLING IN JOURNEY,,,128;179;266
หมวดศึกษาทั่วไป (general_education),dsba,90642107,การผลิตสื่อดิจิทัล,DIGITAL MEDIA PRODUCTION,,,128;179;254;257;266
หมวดศึกษาทั่วไป (general_education),dsba,90642108,เทคโนโลยีการถ่ายภาพดิจิทัล,DIGITAL PHOTOGRAPHY TECHNOLOGY,,,128;179;254;266
หมวดศึกษาทั่วไป (general_education),dsba,90642109,การออกแบบอินโฟกราฟิก,INFOGRAPHIC DESIGN,,,128;179
หมวดศึกษาทั่วไป (general_education),dsba,90642110,สนุกกับวิทยาศาสตร์ข้อมูล,FUN WITH DATA SCIENCE,,,129;180;253;266
หมวดศึกษาทั่วไป (general_education),dsba,90642111,สนุุกกับการเขียนโค้ด,FUN WITH CODING,,,129;180;255;266
หมวดศึกษาทั่วไป (general_education),dsba,90642112,สนุกกับปัญญาประดิษฐ์,FUN WITH AI,,,129;180;266
หมวดศึกษาทั่วไป (general_education),dsba,90642113,หุ่นยนต์และปัญญาประดิษฐ์,ROBOTICS AND AI,,,129;180;256;266
หมวดศึกษาทั่วไป (general_education),dsba,90642114,ฟาร์มอัจฉริยะ,SMART FARMING,,,129;181;266
หมวดศึกษาทั่วไป (general_education),dsba,90642115,เทคโนโลยีสีเขียวและพลังงานทดแทน,GREEN TECHNOLOGY AND ALTERNATIVE ENERGY,,,129;181;255;266
หมวดศึกษาทั่วไป (general_education),dsba,90642116,เมืองอัจฉริยะและนวัตกรรมเมือง,SMART CITY AND INNOVATION,,,129;181;266
หมวดศึกษาทั่วไป (general_education),dsba,90642117,ทักษะการรู้สารสนเทศแห่งศตวรรษที่ 21,INFORMATION LITERACY SKILLS FOR THE 21st CENTURY,,,129;182;255;266
หมวดศึกษาทั่วไป (general_education),dsba,90642118,โปรแกรมคอมพิวเตอร์ประยุกต์ทางธุรกิจ,APPLICATION SOFTWARE FOR BUSSINESS,,,129;182;253
