source_gt,program,code,name_th,name_en,year,semester,pages
หมวดศึกษาทั่วไป (general_education),it,90641001,โรงเรียนสร้างเสน่ห์,CHARM SCHOOL,,,16;26;34;ocr138;ocr140;ocr166;ocr249;ocr277;ocr384
หมวดศึกษาทั่วไป (general_education),it,90641002,ความฉลาดทางดิจิทัล,DIGITAL INTELLIGENCE QUOTIENT,,,16;28;35;ocr138;ocr140;ocr166;ocr249;ocr277;ocr384
หมวดศึกษาทั่วไป (general_education),it,90641003,กีฬาและนันทนาการ,SPORTS AND RECREATIONAL ACTIVITIES,,,17;26;34;ocr138;ocr140;ocr166;ocr249;ocr277;ocr384
หมวดศึกษาทั่วไป (general_education),it,90642001,ปฏิบัติงานตามทักษะด้านบุคคลและสนับสนุนวิชาชีพ 1,PRACTICE UNDER PERSONAL AND PROFESSIONAL SKILLS 1,,,ocr140;ocr167;ocr277
หมวดศึกษาทั่วไป (general_education),it,90642002,ปฏิบัติงานตามทักษะด้านบุคคลและสนับสนุนวิชาชีพ 2,PRACTICE UNDER PERSONAL AND PROFESSIONAL SKILLS 2,,,ocr140;ocr167;ocr277
หมวดศึกษาทั่วไป (general_education),it,90642003,ปฏิบัติงานตามทักษะด้านบุคคลและสนับสนุนวิชาชีพ 3,PRACTICE UNDER PERSONAL AND PROFESSIONAL SKILLS 3,,,ocr140;ocr167;ocr277
หมวดศึกษาทั่วไป (general_education),it,90642004,การคิดวิเคราะห์,ANALYTICAL THINKING,,,ocr140;ocr167
หมวดศึกษาทั่วไป (general_education),it,90642005,การคิดเชิงสร้างสรรค์,CREATIVE THINKING,,,ocr140;ocr168
หมวดศึกษาทั่วไป (general_education),it,90642006,การคิดเชิงนวัตกรรม,INNOVATIVE THINKING,,,ocr140;ocr168;ocr277
หมวดศึกษาทั่วไป (general_education),it,90642007,การคิดเชิงบวก,POSITIVE THINKING,,,ocr140;ocr168
หมวดศึกษาทั่วไป (general_education),it,90642008,การแก้ปัญหา,PROBLEM SOLVING,,,ocr140;ocr168
หมวดศึกษาทั่วไป (general_education),it,90642009,การคิดเชิงกลยุทธ์,STRATEGIC THINKING,,,ocr140;ocr169;ocr277
หมวดศึกษาทั่วไป (general_education),it,90642010,การคิดเชิงระบบ,SYSTEM THINKING,,,ocr140;ocr169;ocr277
หมวดศึกษาทั่วไป (general_education),it,90642011,การคิดอย่างมีวิจารณญาณ,CRITICAL THINKING,,,ocr140;ocr169
หมวดศึกษาทั่วไป (general_education),it,90642012,กระบวนการคิดเชิงออกแบบ,DESIGN THINKING,,,ocr140;ocr169;ocr273;ocr274;ocr278
หมวดศึกษาทั่วไป (general_education),it,90642013,บูรณาการแห่งการคิด,INTEGRATED THINKING,,,ocr140;ocr170;ocr271;ocr275;ocr278
หมวดศึกษาทั่วไป (general_education),it,90642014,การคิดเชิงระบบและเชิงนวัตกรรม,INNOVATIVE AND SYSTEM THINKING,,,ocr140;ocr170;ocr278
หมวดศึกษาทั่วไป (general_education),it,90642015,การคิดสร้างสรรค์และนวัตกรรม,CREATIVE THINKING AND INNOVATION,,,ocr141;ocr170;ocr272
หมวดศึกษาทั่วไป (general_education),it,90642016,วิธีการออกแบบเพื่อสร้างนวัตกรรม,DESIGN METHODS FOR INNOVATION,,,ocr141;ocr171;ocr278
หมวดศึกษาทั่วไป (general_education),it,90642017,แกะกล่องนวัตกรรม,INNOVATION UNBOXED,,,ocr141;ocr171;ocr270;ocr278
หมวดศึกษาทั่วไป (general_education),it,90642018,เทคโนโลยีการผลิตงานสร้างสรรค์,CREATIVE PRODUCTION TECHNOLOGY,,,ocr141;ocr171;ocr271;ocr278
หมวดศึกษาทั่วไป (general_education),it,90642019,การออกแบบสะเต็มอย่างสร้างสรรค์ขั้นพื้นฐาน,BASIC CREATIVE STEM DESIGN,,,ocr141;ocr280
หมวดศึกษาทั่วไป (general_education),it,90642020,การออกแบบสะเต็มอย่างสร้างสรรค์ขั้นสูง,ADVANCE CREATIVE STEM DESIGN,,,ocr141;ocr172;ocr278;ocr279
หมวดศึกษาทั่วไป (general_education),it,90642021,ไอเดียขยะ,JUNK DESIGN,,,ocr141;ocr172;ocr278
หมวดศึกษาทั่วไป (general_education),it,90642022,ปรัชญาวิทยาศาสตร์,PHILOSOPHY OF SCIENCE,,,ocr141;ocr173;ocr278
หมวดศึกษาทั่วไป (general_education),it,90642023,แนวโน้มการศึกษาด้านวิศวกรรม,EMERGING TRENDS IN ENGINEERING,,,ocr141;ocr173;ocr251;ocr278
หมวดศึกษาทั่วไป (general_education),it,90642024,การวิเคราะห์ข้อมูลทางวิชาชีพและการนำเสนอทางวิชาการ,PROFESSIONAL INFORMATION ANALYSIS AND ACADEMIC PRESENTATION,,,ocr141;ocr173;ocr272;ocr278
หมวดศึกษาทั่วไป (general_education),it,90642025,วิเคราะห์ความจริงจากตัวเลข,FATCS BEHIND NUMBERS,,,ocr141;ocr174
หมวดศึกษาทั่วไป (general_education),it,90642026,การพัฒนาทักษะเชิงวิจัย,RESEARCH SKILL DEVELOPMENT,,,ocr141;ocr174;ocr272
หมวดศึกษาทั่วไป (general_education),it,90642027,การตีความและการใช้เหตุผล,INTERPRETATION AND ARGUMENT,,,ocr141;ocr174;ocr278
หมวดศึกษาทั่วไป (general_education),it,90642028,รู้เท่าทันการพนัน,GAMBLING LITERACY,,,ocr141;ocr175;ocr278
หมวดศึกษาทั่วไป (general_education),it,90642029,จริยธรรมและกฎหมายว่าด้วยความเป็นมืออาชีพทางการแพทย์,"MEDICAL ETHICS, LAWS AND PROFESSIONALOSM",,,ocr141;ocr175;ocr278
หมวดศึกษาทั่วไป (general_education),it,90642030,จรรยาบรรณและกฎหมายวิศวกรรม,ENGINEERING ETHICS AND LAWS,,,ocr141;ocr175;ocr270
หมวดศึกษาทั่วไป (general_education),it,90642031,จริยธรรมและกฎหมายแห่งวิชาชีพ,PROFESSIONAL ETHICS AND LAWS,,,ocr141;ocr175;ocr279
หมวดศึกษาทั่วไป (general_education),it,90642032,กฎหมายสำหรับผู้ประกอบการ,LAW FOR ENTREPRENEURS,,,ocr141;ocr176;ocr279
หมวดศึกษาทั่วไป (general_education),it,90642033,กฎหมายสำหรับคนรุ่นใหม่,LAW FOR NEW GENERATION,,,17;32;40;ocr141;ocr176;ocr273;ocr384
หมวดศึกษาทั่วไป (general_education),it,90642034,กฎหมายและระเบียบในอุตสาหกรรมการบิน,LAW AND REGULATION IN AVIATION INDUSTRY,,,ocr142;ocr176;ocr279
หมวดศึกษาทั่วไป (general_education),it,90642035,ประสบการณ์ในอุตสาหกรรมสำหรับวิศวกร,INDUSTRIAL EXPERIENCE FOR ENGINEERS,,,ocr142;ocr177;ocr270;ocr279
หมวดศึกษาทั่วไป (general_education),it,90642036,เตรียมความพร้อมสำหรับวิศวกร,PRE-ACTIVITIES FOR ENGINEERS,,,ocr142;ocr177;ocr270
หมวดศึกษาทั่วไป (general_education),it,90642037,ประเด็นและทักษะวิชาชีพ,PROFESSIONAL SKILLS AND ISSUES,,,ocr142;ocr177;ocr279
หมวดศึกษาทั่วไป (general_education),it,90642038,ความปลอดภัยในที่ทำงาน,OCCUPATIONAL SAFETY AND HEALTH,,,ocr142;ocr178;ocr270;ocr279
หมวดศึกษาทั่วไป (general_education),it,90642039,ซ่อมได้ภายในบ้าน,QUICK-FIX @ HOME,,,ocr142;ocr178;ocr279
หมวดศึกษาทั่วไป (general_education),it,90642040,คอกาแฟ,COFFEE MANIA,,,ocr142;ocr178;ocr279
หมวดศึกษาทั่วไป (general_education),it,90642041,ครัวเด็กหอ,DORM CHEF,,,ocr142;ocr178
หมวดศึกษาทั่วไป (general_education),it,90642042,ศาสตร์และศิลป์ของเนื้อสัตว์,SCIENCE AND ART OF MEATS,,,ocr142;ocr179;ocr279
หมวดศึกษาทั่วไป (general_education),it,90642043,ศาสตร์ของเบอร์เกอร์,SCIENCE OF BURGER,,,ocr142;ocr179;ocr279
หมวดศึกษาทั่วไป (general_education),it,90642044,โลกของไส้กรอก,WORLD OF SAUSAGES,,,ocr142;ocr179
หมวดศึกษาทั่วไป (general_education),it,90642045,เรื่องเหล้า,BE MY BEV.,,,ocr142;ocr179;ocr279
หมวดศึกษาทั่วไป (general_education),it,90642046,ไร้ซ์-สาระ,RICE-SARA,,,ocr142;ocr180;ocr279
หมวดศึกษาทั่วไป (general_education),it,90642047,หมอต้นไม้,TREE DOCTOR,,,ocr142;ocr180;ocr279
หมวดศึกษาทั่วไป (general_education),it,90642048,ยาและสมุนไพรพาเพลิน,FUN WITH DRUGS AND HERBS,,,ocr142;ocr180
หมวดศึกษาทั่วไป (general_education),it,90642049,การใช้ประโยชน์จากจุลินทรีย์ในชีวิตประจำวัน,MICROBIAL UTILIZATION FOR DAILY LIFE,,,ocr142;ocr181;ocr273
หมวดศึกษาทั่วไป (general_education),it,90642050,พืชพรรณที่เป็นยา,MEDICINAL PLANTS,,,ocr142;ocr181
หมวดศึกษาทั่วไป (general_education),it,90642051,เทคโนโลยีชีวภาพเพื่อความเป็นอยู่ที่ดีขึ้น,BIOTECHNOLOGY FOR BETTER LIVING,,,ocr142;ocr181
