category,question,answer,source_pages,article_no
รายวิชา,วิชา CALCULUS 1 (06026200) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6),15;28;66;312;351,
รายวิชา,วิชา LINEAR ALGEBRA (06026202) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6),15;67;313;351,
รายวิชา,"วิชา BUSINESS FUNDAMENTALS FOR INFORMATION
TECHNOLOGY (06066101) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6),15;21;28;71;315;316;351,
รายวิชา,"วิชา PROBLEM SOLVING AND COMPUTER
PROGRAMMING (06066303) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 3(2-2-5),16;21;71;317;351,
รายวิชา,วิชา CHARM SCHOOL (90641001) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 2(1-2-3),14;121;123;149;232;260;350,
รายวิชา,วิชา SPORTS AND RECREATIONAL ACTIVITIES (90641003) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 1(0-3-2),14;121;123;149;232;260;350,
รายวิชา,วิชา FOUNDATION ENGLISH 1 (90644007) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 1 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6),14;121;134;207;211;350,
รายวิชา,วิชา CALCULUS 2 (06026201) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 1 ภาคการศึกษาที่ 2 หน่วยกิต 3(3-0-6),15;29;312;351,
รายวิชา,วิชา COMPUTER PROGRAMMING (06026203) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 1 ภาคการศึกษาที่ 2 หน่วยกิต 3(2-2-5),15;66;314;351,
รายวิชา,วิชา INTRODUCTION TO MARKETING (06026205) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 1 ภาคการศึกษาที่ 2 หน่วยกิต 3(3-0-6),16;318;352,
รายวิชา,วิชา PROBABILITY AND STATISTICS (06066001) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 1 ภาคการศึกษาที่ 2 หน่วยกิต 3(3-0-6),15;71;313;351,
รายวิชา,วิชา DIGITAL INTELLIGENCE QUOTIENT (90641002) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 1 ภาคการศึกษาที่ 2 หน่วยกิต 3(3-0-6),14;121;123;149;232;260;350,
รายวิชา,วิชา LAW FOR NEW GENERATION (90642033) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 1 ภาคการศึกษาที่ 2 หน่วยกิต 3(3-0-6),14;22;29;124;159;256;262;351,
รายวิชา,วิชา FOUNDATION ENGLISH 2 (90644008) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 1 ภาคการศึกษาที่ 2 หน่วยกิต 3(3-0-6),14;121;134;207;211;350,
รายวิชา,วิชา DATA ANALYTICS AND PROGRAMMING (06026206) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 2 ภาคการศึกษาที่ 1 หน่วยกิต 3(2-2-5),16;319;352,
รายวิชา,วิชา DISCRETE MATHEMATICS (06066000) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 2 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6),15;71;313;351,
รายวิชา,วิชา DATABASE SYSTEM CONCEPTS (06066300) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 2 ภาคการศึกษาที่ 1 หน่วยกิต 3(2-2-5),16;71;316;321;322;351,
รายวิชา,วิชา FUNDAMENTAL WEB PROGRAMMING (06066302) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 2 ภาคการศึกษาที่ 1 หน่วยกิต 3(2-2-5),16;71;317;351,
รายวิชา,วิชา INFORMATION SYSTEM ANALYSIS AND DESIGN (06066304) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 2 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6),16;318;351,
รายวิชา,วิชา ELECTIVE IN LANGUAGE AND COMMUNICATION (90644xxx) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 2 ภาคการศึกษาที่ 1 หน่วยกิต 3(3-0-6) หรือ 3(2-2-5),30,
รายวิชา,"วิชา INTRODUCTION TO NETWORKS AND
CYBERSECURITY (06026204) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop)",ปี 2 ภาคการศึกษาที่ 2 หน่วยกิต 3(3-0-6),15;24;66;314,
รายวิชา,วิชา NOSQL DATABASE SYSTEMS (06026207) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 2 ภาคการศึกษาที่ 2 หน่วยกิต 3(2-2-5),16;66;319;352,
รายวิชา,วิชา FUNDAMENTALS OF DATA SCIENCE (06026208) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 2 ภาคการศึกษาที่ 2 หน่วยกิต 3(3-0-6),16;66;320;352,
รายวิชา,วิชา DATA VISUALIZATION (06026209) อยู่ในชั้นปีและภาคการศึกษาใด และมีหน่วยกิตเท่าไร? (หลักสูตร DSBA แผน coop),ปี 2 ภาคการศึกษาที่ 2 หน่วยกิต 3(2-2-5),16;66;320;352,
