pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
text,รหัสวิชา,90,0.639344,,0.366667,0,468,0,57,732
text,ชื่อวิชา (ไทย) ⭐,90,0.716299,0.7473,0.3,20,1956,6,57,2767
text,ชื่อวิชา (อังกฤษ) ⭐,90,1.0,1.0,0.0,0,2659,0,90,2659
text,หน่วยกิต,90,0.66787,,0.366667,0,555,0,57,831
text,ปี/ภาค,90,0.633333,,0.366667,0,171,0,57,270
text,หมวดวิชา,90,0.87399,,0.133333,0,1082,0,78,1238
text,บังคับ/เลือก,90,0.851852,,0.133333,0,414,0,78,486
text,วิชาบังคับก่อน,33,0.222222,,0.848485,25,15,0,0,180
text,ปี/ภาคยืดหยุ่น,33,0.0,,1.0,0,0,0,0,0
vlm,รหัสวิชา,90,0.912568,,0.088889,0,668,0,82,732
vlm,ชื่อวิชา (ไทย) ⭐,90,0.936393,0.946004,0.066667,0,2588,3,82,2767
vlm,ชื่อวิชา (อังกฤษ) ⭐,90,1.0,1.0,0.0,0,2659,0,90,2659
vlm,หน่วยกิต,90,0.932611,,0.077778,0,775,0,83,831
vlm,ปี/ภาค,90,0.911111,,0.088889,0,246,0,82,270
vlm,หมวดวิชา,90,1.0,,0.0,0,1238,0,90,1238
vlm,บังคับ/เลือก,90,1.0,,0.0,0,486,0,90,486
vlm,วิชาบังคับก่อน,8,0.0,,1.0,0,0,0,0,40
vlm,ปี/ภาคยืดหยุ่น,8,0.0,,1.0,0,0,0,0,0
